id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.00,0.10
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.04,0.62,0.06
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.07,0.08,0.22
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.71,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.06,0.00,0.14
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.03,0.89,0.07
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.04,0.77,0.31
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,0.55,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.68,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.05,0.01,0.12
11,Gold Chain Gospel,Street Almanac,hip-hop,confident,0.85,95,0.72,0.83,0.06,0.31,0.00,0.12
12,Moonlight Variations,Clair de Lune Ensemble,classical,melancholic,0.22,52,0.28,0.32,0.97,0.03,0.94,0.08
13,Heartbreak Porch,Dusty Hollow,country,sad,0.41,88,0.31,0.47,0.76,0.05,0.02,0.18
14,Velvet Hours,Sable & Rose,r&b,romantic,0.63,96,0.78,0.70,0.42,0.07,0.01,0.11
15,Iron Cathedral,Grave Circuit,metal,angry,0.97,168,0.25,0.56,0.08,0.09,0.12,0.25
16,Island Morning,Riddim Shore,reggae,uplifting,0.58,75,0.82,0.74,0.68,0.08,0.05,0.35
17,Willow and Wire,June Sparrow,folk,nostalgic,0.33,85,0.64,0.51,0.88,0.04,0.06,0.42
18,Paloma Del Sol,Conjunto Vivo,latin,romantic,0.78,105,0.85,0.87,0.31,0.06,0.03,0.29
19,Club Afterglow,Tessera,house,dreamy,0.84,128,0.67,0.85,0.12,0.05,0.45,0.08
20,Neon Seoul,Starfall K,k-pop,uplifting,0.88,138,0.89,0.91,0.15,0.08,0.00,0.14
